S.No.,Log File,spark_driver_start_time, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),Driver Memory,Executor Memory,Memory Store Capacity,Job Result
238,application_1513303661803_18820_asrd.cp.big.data.services.team.log,1513649461, 17/12/19 02:11:07,1513649467,6, 17/12/19 02:10:57, 6G, 4G, 4.1GB, Job completed successfully
239,application_1513303661803_23957_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
240,application_1513303661803_21023_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
241,application_1513303661803_21323_asrd.cp.big.data.services.team.log,1513735256, 17/12/20 02:01:05,1513735265,9, 17/12/20 02:00:52, 12g, 1G, 8.4GB, Job completed successfully
242,application_1513303661803_24074_asrd.cp.big.data.services.team.log,1513793889, 17/12/20 18:18:18,1513793898,9, 17/12/20 18:18:04, 12g, 6144M, 8.4GB, Job completed successfully
243,application_1513303661803_24154_asrd.cp.big.data.services.team.log,1513795141, 17/12/20 18:39:06,1513795146,5, 17/12/20 18:38:58, 12g, 6144M, 8.4GB, Job completed successfully
244,application_1513303661803_20429_asrd.cp.big.data.services.team.log,1513710257, 17/12/19 19:04:22,1513710262,5, 17/12/19 19:04:12, 12G, 16G, 8.4GB, Job completed successfully
245,application_1513303661803_18037_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
246,application_1513303661803_24675_asrd.cp.big.data.services.team.log,1513815385, 17/12/21 00:16:30,1513815390,5, 17/12/21 00:16:20, 12g, 6144M, 8.4GB, Job completed successfully
247,application_1513303661803_26797_asrd.cp.big.data.services.team.log,1513901792, 17/12/22 00:16:39,1513901799,7, 17/12/22 00:16:27, 12g, 6144M, 8.4GB, Job completed successfully
248,application_1513303661803_22246_asrd.cp.big.data.services.team.log,1513751600, 17/12/20 06:33:25,1513751605,5, 17/12/20 06:33:17, 12g, 6144M, 8.4GB, Job completed successfully
249,application_1513303661803_22385_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
250,application_1513303661803_18315_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
251,application_1513303661803_20773_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
252,application_1513303661803_24105_asrd.cp.big.data.services.team.log,1513794453, 17/12/20 18:27:38,1513794458,5, 17/12/20 18:27:29, 12g, 6144M, 8.4GB, Job completed successfully
253,application_1513303661803_26836_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
254,application_1513303661803_28050_asrd.cp.big.data.services.team.log,1513944355, 17/12/22 12:06:00,1513944360,5, 17/12/22 12:05:51, 12g, 6144M, 8.4GB, Job completed successfully
255,application_1513303661803_19471_asrd.cp.big.data.services.team.log,1513671348, 17/12/19 08:15:53,1513671353,5, 17/12/19 08:15:43, 12g, 2G, 8.4GB, Job completed successfully
256,application_1513303661803_22726_asrd.cp.big.data.services.team.log,1513769222, 17/12/20 11:27:07,1513769227,5, 17/12/20 11:26:58, 12g, 10G, 8.4GB, Job completed successfully
257,application_1513303661803_22343_asrd.cp.big.data.services.team.log,1513752986, 17/12/20 06:56:31,1513752991,5, 17/12/20 06:56:23, 12g, 6144M, 8.4GB, Job completed successfully
258,application_1513303661803_21448_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
259,application_1513303661803_21994_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
260,application_1513303661803_24387_asrd.cp.big.data.services.team.log,1513800061, 17/12/20 20:01:06,1513800066,5, 17/12/20 20:00:58, 512M, 512M, 143.6MB, Job completed successfully
261,application_1513303661803_22090_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
262,application_1513303661803_18644_asrd.cp.big.data.services.team.log,1513645464, 17/12/19 01:04:35,1513645475,11, 17/12/19 01:04:19, 12g, 10G, 8.4GB, Job completed successfully
263,application_1513303661803_19012_asrd.cp.big.data.services.team.log,1513652065, 17/12/19 02:54:30,1513652070,5, 17/12/19 02:54:21, 20G, 10G, 14.2GB, Job completed successfully
264,application_1513303661803_24054_asrd.cp.big.data.services.team.log,1513793693, 17/12/20 18:14:58,1513793698,5, 17/12/20 18:14:50, 12g, 6144M, 8.4GB, Job completed successfully
265,application_1513303661803_18556_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
266,application_1513303661803_22186_asrd.cp.big.data.services.team.log,1513750683, 17/12/20 06:18:08,1513750688,5, 17/12/20 06:18:00, 12g, 6144M, 8.4GB, Job completed successfully
267,application_1513303661803_24712_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
268,application_1513303661803_18281_asrd.cp.big.data.services.team.log,1513642623, 17/12/19 00:17:15,1513642635,12, 17/12/19 00:16:58, 12g, 6144M, 8.4GB, Job completed successfully
269,application_1513303661803_19701_asrd.cp.big.data.services.team.log,1513692086, 17/12/19 14:01:31,1513692091,5, 17/12/19 14:01:16, 512M, 512M, 143.6MB, Job completed successfully
270,application_1513303661803_19375_asrd.cp.big.data.services.team.log,1513663368, 17/12/19 06:02:53,1513663373,5, 17/12/19 06:02:44, 12g, 6144M, 8.4GB, Job completed successfully
271,application_1513303661803_23625_asrd.cp.big.data.services.team.log,1513788735, 17/12/20 16:52:20,1513788740,5, 17/12/20 16:52:12, 12g, 6144M, 8.4GB, Job completed successfully
272,application_1513303661803_21967_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
273,application_1513303661803_23069_asrd.cp.big.data.services.team.log,1513782539, 17/12/20 15:10:02,1513782602,63, 17/12/20 15:08:56, 12g, 6144M, 8.4GB, Job completed successfully
274,application_1513303661803_19586_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
275,application_1513303661803_19835_asrd.cp.big.data.services.team.log,1513694192, 17/12/19 14:38:14,1513694294,102, 17/12/19 14:36:26, 12g, 1G, 8.4GB, Job completed successfully
276,application_1513303661803_20334_asrd.cp.big.data.services.team.log,1513707118, 17/12/19 18:12:03,1513707123,5, 17/12/19 18:11:54, 12g, 6144M, 8.4GB, Job completed successfully
277,application_1513303661803_22005_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
278,application_1513303661803_18884_asrd.cp.big.data.services.team.log,1513649799, 17/12/19 02:16:45,1513649805,6, 17/12/19 02:16:33, 12g, 1G, 8.4GB, Job completed successfully
279,application_1513303661803_21430_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
280,application_1513303661803_22880_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
281,application_1513303661803_22306_asrd.cp.big.data.services.team.log,1513752454, 17/12/20 06:47:39,1513752459,5, 17/12/20 06:47:30, 12g, 10G, 8.4GB, Job completed successfully
282,application_1513303661803_21895_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
283,application_1513303661803_22024_asrd.cp.big.data.services.team.log,1513748895, 17/12/20 05:48:22,1513748902,7, 17/12/20 05:48:12, 12g, 6144M, 8.4GB, Job completed successfully
284,application_1513303661803_17923_asrd.cp.big.data.services.team.log,1513636873, 17/12/18 22:41:18,1513636878,5, 17/12/18 22:41:08, 12g, 10G, 8.4GB, Job completed successfully
285,application_1513303661803_19081_asrd.cp.big.data.services.team.log,1513653315, 17/12/19 03:15:20,1513653320,5, 17/12/19 03:15:10, 12g, 12480M, 8.4GB, Job completed successfully
286,application_1513303661803_23159_asrd.cp.big.data.services.team.log,1513784162, 17/12/20 15:36:07,1513784167,5, 17/12/20 15:35:59, 12g, 6144M, 8.4GB, Job completed successfully
287,application_1513303661803_24107_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
288,application_1513303661803_17833_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
289,application_1513303661803_18878_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 1247.6MB, NA
290,application_1513303661803_19106_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 6.2GB, NA
291,application_1513303661803_18136_asrd.cp.big.data.services.team.log,1513641662, 17/12/19 00:01:08,1513641668,6, 17/12/19 00:00:58, 15G, 10G, 10.6GB, Job completed successfully
292,application_1513303661803_20663_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
293,application_1513303661803_20089_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
294,application_1513303661803_20932_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 1213.1MB, NA
295,application_1513303661803_20293_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
296,application_1513303661803_19055_asrd.cp.big.data.services.team.log,1513652752, 17/12/19 03:05:57,1513652757,5, 17/12/19 03:05:48, 12g, 6144M, 8.4GB, Job completed successfully
297,application_1513303661803_24661_asrd.cp.big.data.services.team.log,1513815361, 17/12/21 00:16:06,1513815366,5, 17/12/21 00:15:57, 12g, 2G, 8.4GB, Job completed successfully
298,application_1513303661803_20822_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
299,application_1513303661803_21277_asrd.cp.big.data.services.team.log,1513732851, 17/12/20 01:20:56,1513732856,5, 17/12/20 01:20:47, 12g, 10G, 8.4GB, Job completed successfully
300,application_1513303661803_19141_asrd.cp.big.data.services.team.log,1513653849, 17/12/19 03:24:14,1513653854,5, 17/12/19 03:24:05, 10G, 10G, 7.0GB, Job completed successfully
