,Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory_MB,spark_executor_memory_MB,memoryStore_capacity_MB,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
128,application_1513303661803_22269_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
129,application_1513303661803_19495_asrd.cp.big.data.services.team.log,,,,,,,,,1983.0,,,,,,,,
130,application_1513303661803_19440_asrd.cp.big.data.services.team.log,1513670452.0, 17/12/19 08:00:57,1513670457,5, 17/12/19 08:00:47,1513670447,12288.0,3072.0,8601.6, Job completed successfully, 17/12/19 08:01:16,1513670476,,,5,19,
131,application_1513303661803_19459_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
132,application_1513303661803_19858_asrd.cp.big.data.services.team.log,1513694770.0, 17/12/19 14:47:10,1513694830,60, 17/12/19 14:46:05,1513694765,4096.0,4096.0,2764.8, Job completed successfully, 17/12/19 14:51:42,1513695102,,,5,272,
133,application_1513303661803_21775_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
134,application_1513303661803_18963_asrd.cp.big.data.services.team.log,1513650352.0, 17/12/19 02:29:00,1513650540,188, 17/12/19 02:25:47,1513650347,12288.0,10240.0,8601.6, Job failed,,, 17/12/19 02:31:11,1513650671,5,,131
135,application_1513303661803_22534_asrd.cp.big.data.services.team.log,1513757686.0, 17/12/20 08:14:51,1513757691,5, 17/12/20 08:14:42,1513757682,15360.0,10240.0,10854.4, Job completed successfully, 17/12/20 08:26:18,1513758378,,,4,687,
136,application_1513303661803_22654_asrd.cp.big.data.services.team.log,1513765018.0, 17/12/20 10:17:04,1513765024,6, 17/12/20 10:16:46,1513765006,12288.0,2048.0,8601.6, Job completed successfully, 17/12/20 10:25:56,1513765556,,,12,532,
137,application_1513303661803_18063_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
138,application_1513303661803_24845_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
139,application_1513303661803_26828_asrd.cp.big.data.services.team.log,,,,,,,,,511.5,,,,,,,,
140,application_1513303661803_20606_asrd.cp.big.data.services.team.log,1513716838.0, 17/12/19 20:54:03,1513716843,5, 17/12/19 20:53:54,1513716834,3072.0,10240.0,1983.0, Job completed successfully, 17/12/19 20:56:25,1513716985,,,4,142,
141,application_1513303661803_22061_asrd.cp.big.data.services.team.log,1513749356.0, 17/12/20 05:56:02,1513749362,6, 17/12/20 05:55:54,1513749354,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 06:02:12,1513749732,,,2,370,
142,application_1513303661803_19671_asrd.cp.big.data.services.team.log,1513688525.0, 17/12/19 13:02:13,1513688533,8, 17/12/19 13:01:58,1513688518,512.0,512.0,143.6, Job completed successfully, 17/12/19 13:02:40,1513688560,,,7,27,
143,application_1513303661803_22747_asrd.cp.big.data.services.team.log,1513771264.0, 17/12/20 12:01:09,1513771269,5, 17/12/20 12:01:00,1513771260,512.0,512.0,143.6, Job completed successfully, 17/12/20 12:01:27,1513771287,,,4,18,
144,application_1513303661803_25038_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
145,application_1513303661803_22199_asrd.cp.big.data.services.team.log,1513750794.0, 17/12/20 06:19:59,1513750799,5, 17/12/20 06:19:50,1513750790,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 06:25:51,1513751151,,,4,352,
146,application_1513303661803_25088_asrd.cp.big.data.services.team.log,1513821661.0, 17/12/21 02:01:07,1513821667,6, 17/12/21 02:00:56,1513821656,12288.0,1024.0,8601.6, Job completed successfully, 17/12/21 02:02:02,1513821722,,,5,55,
