Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory,spark_executor_memory,memoryStore_capacity,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
application_1513303661803_21784_asrd.cp.big.data.services.team.log,1513742579, 17/12/20 04:03:04,1513742584,5, 17/12/20 04:02:53,1513742573, 20G, 20G, 14.2GB, Job completed successfully, 17/12/20 04:24:43,1513743883, NA, NA,6,1299, NA
application_1513303661803_20379_asrd.cp.big.data.services.team.log,1513709740, 17/12/19 18:55:45,1513709745,5, 17/12/19 18:55:37,1513709737, 12g, 10G, 8.4GB, Job completed successfully, 17/12/19 18:56:52,1513709812, NA, NA,3,67, NA
application_1513303661803_22536_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24603_asrd.cp.big.data.services.team.log,1513814948, 17/12/21 00:09:40,1513814980,32, 17/12/21 00:08:56,1513814936, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 00:12:01,1513815121, NA, NA,12,141, NA
application_1513303661803_22739_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21904_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_26761_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21950_asrd.cp.big.data.services.team.log,1513747890, 17/12/20 05:31:36,1513747896,6, 17/12/20 05:31:26,1513747886, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 05:38:27,1513748307, NA, NA,4,411, NA
application_1513303661803_17772_asrd.cp.big.data.services.team.log,1513632852, 17/12/18 21:34:17,1513632857,5, 17/12/18 21:34:07,1513632847, 12g, 10G, 8.4GB, Job completed successfully, 17/12/18 21:35:44,1513632944, NA, NA,5,87, NA
application_1513303661803_23438_asrd.cp.big.data.services.team.log,1513786547, 17/12/20 16:15:52,1513786552,5, 17/12/20 16:15:42,1513786542, 12g, 2G, 8.4GB, Job completed successfully, 17/12/20 16:25:33,1513787133, NA, NA,5,581, NA
application_1513303661803_21987_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20481_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19223_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19726_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19419_asrd.cp.big.data.services.team.log,1513667150, 17/12/19 07:05:54,1513667154,4, 17/12/19 07:05:46,1513667146, 12g, 10G, 8.4GB, Job completed successfully, 17/12/19 08:19:01,1513671541, NA, NA,4,4387, NA
application_1513303661803_24106_asrd.cp.big.data.services.team.log,1513794453, 17/12/20 18:27:38,1513794458,5, 17/12/20 18:27:30,1513794450, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:34:05,1513794845, NA, NA,3,387, NA
application_1513303661803_25135_asrd.cp.big.data.services.team.log,1513822029, 17/12/21 02:07:14,1513822034,5, 17/12/21 02:07:04,1513822024, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 02:08:13,1513822093, NA, NA,5,59, NA
application_1513303661803_22504_asrd.cp.big.data.services.team.log,1513756865, 17/12/20 08:01:14,1513756874,9, 17/12/20 08:00:58,1513756858, 12g, 3G, 8.4GB, Job completed successfully, 17/12/20 08:01:39,1513756899, NA, NA,7,25, NA
application_1513303661803_19683_asrd.cp.big.data.services.team.log,1513688918, 17/12/19 13:08:43,1513688923,5, 17/12/19 13:08:34,1513688914, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 13:09:04,1513688944, NA, NA,4,21, NA
